GEO.id,GEO.id2,GEO.display-label,D001,D026,D035,D036,D037,D038,D039
Id,Id2,Geography,Total:,Female:,Female: - 25 to 29 years,Female: - 30 to 34 years,Female: - 35 to 39 years,Female: - 40 to 44 years,Female: - 45 to 49 years
8600000US90035,90035,ZCTA5 90035,20373,10544,1109,854,776,694,617
8600000US90036,90036,ZCTA5 90036,23054,11415,1680,1246,1000,756,626
8600000US90037,90037,ZCTA5 90037,698,316,26,22,21,22,23
8600000US90038,90038,ZCTA5 90038,7858,3439,549,390,288,221,171
8600000US90039,90039,ZCTA5 90039,10264,4707,489,581,527,463,362
8600000US90040,90040,ZCTA5 90040,409,191,7,5,13,5,6
8600000US90041,90041,ZCTA5 90041,8454,4198,215,250,277,329,246
8600000US90042,90042,ZCTA5 90042,8765,4247,370,409,398,364,322
8600000US90043,90043,ZCTA5 90043,1002,520,14,24,39,38,35
8600000US90044,90044,ZCTA5 90044,895,453,31,17,21,36,40
8600000US90045,90045,ZCTA5 90045,20086,9991,534,518,546,693,736
8600000US90046,90046,ZCTA5 90046,37931,17520,2593,1931,1523,1295,1017
8600000US90047,90047,ZCTA5 90047,446,222,10,15,16,13,16
8600000US90048,90048,ZCTA5 90048,16898,8787,1143,954,787,639,496
8600000US90049,90049,ZCTA5 90049,28631,14980,1321,1037,1031,995,1049
8600000US90056,90056,ZCTA5 90056,896,499,25,9,17,19,34
8600000US90057,90057,ZCTA5 90057,2410,1001,133,74,61,47,48
8600000US90058,90058,ZCTA5 90058,148,72,8,8,6,7,7
8600000US90059,90059,ZCTA5 90059,358,171,11,9,9,14,9
8600000US90061,90061,ZCTA5 90061,260,118,5,6,7,13,7
8600000US90062,90062,ZCTA5 90062,370,162,12,7,12,10,21
8600000US90063,90063,ZCTA5 90063,761,378,29,31,19,29,28
8600000US90064,90064,ZCTA5 90064,15592,7826,438,489,543,619,621
8600000US90065,90065,ZCTA5 90065,7886,3539,216,297,351,306,279
8600000US90066,90066,ZCTA5 90066,26331,12822,1085,1125,1063,1007,987
8600000US90067,90067,ZCTA5 90067,2006,1114,54,37,29,31,39
8600000US90068,90068,ZCTA5 90068,16784,7487,854,882,786,684,607
8600000US90069,90069,ZCTA5 90069,16314,6563,915,780,571,489,444
8600000US90071,90071,ZCTA5 90071,4,1,0,0,0,0,1
8600000US90073,90073,ZCTA5 90073,231,11,0,0,1,0,0
8600000US90077,90077,ZCTA5 90077,7618,3787,113,123,184,266,297
8600000US90079,90079,ZCTA5 90079,0,0,0,0,0,0,0
